Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;17/05/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;04/06/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;20/06/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;01/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;05/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;20/08/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;19/04/2024;15;77;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;17/05/2024;15;232;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;05/06/2024;15;61;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;18/06/2024;46;327;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;02/07/2024;77;232;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;17/07/2024;15;234;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;21/08/2024;15;144;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001660;17/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001660;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001660;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001660;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001660;20/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001661;17/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001661;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001661;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001661;06/08/2024;30;30;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001661;20/08/2024;15;94;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;27/05/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;18/06/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;21/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;03/09/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101304D001130;13/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101304D001130;01/07/2024;15;126;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101304D001130;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101304D001130;05/08/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101304D001130;19/08/2024;15;312;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101305D001210;12/06/2024;15;46;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101305D001210;01/07/2024;15;197;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101305D001210;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101305D001210;05/08/2024;15;45;;;;
